survey_organization,party_affiliation,start_date,end_date,survey_method,survey_question,survey_population,survey_sample,approve_percent,disapprove_percent,undecided_percent,margin_of_error
USC/LA Times,None,2012-08-13,2012-08-19,Live Phone,,Registered Voters,1009,47,47,6,3.1
Gallup,None,2012-08-13,2012-08-15,Live Phone,,Adults,1500,44,50,,3
Rasmussen,None,2012-08-13,2012-08-15,Automated Phone,,Likely Voters,1500,48,51,,3
Gallup,None,2012-08-14,2012-08-16,Live Phone,,Adults,1500,44,50,,3
Rasmussen,None,2012-08-14,2012-08-16,Automated Phone,,Likely Voters,1500,48,51,,3
Gallup,None,2012-08-15,2012-08-17,Live Phone,,Adults,1500,45,49,,3
Rasmussen,None,2012-08-15,2012-08-17,Automated Phone,,Likely Voters,1500,47,51,,3
Resurgent Republic (R),Republican,2012-08-16,2012-08-22,Live Phone,,Registered Voters,1000,49,49,3,3.1
Resurgent Republic (R),Republican,2012-08-16,2012-08-22,Live Phone,,Registered Voters (Democrats),378,89,10,2,5.04
Resurgent Republic (R),Republican,2012-08-16,2012-08-22,Live Phone,,Registered Voters (Republicans),294,8,90,3,5.72
Resurgent Republic (R),Republican,2012-08-16,2012-08-22,Live Phone,,Registered Voters (Independents),294,51,46,3,5.72
AP-GFK,None,2012-08-16,2012-08-20,Live Phone,,Adults,1006,49,49,1,3.9
NBC/WSJ,None,2012-08-16,2012-08-20,Live Phone,,Registered Voters,1000,48,49,3,3.1
DailyKos/SEIU/PPP (D),Democrat,2012-08-16,2012-08-19,Automated Phone,,Registered Voters,1000,45,50,5,3.1
DailyKos/SEIU/PPP (D),Democrat,2012-08-16,2012-08-19,Automated Phone,,Registered Voters (Democrats),350,83,13,4,
DailyKos/SEIU/PPP (D),Democrat,2012-08-16,2012-08-19,Automated Phone,,Registered Voters (Republicans),350,8,89,3,
DailyKos/SEIU/PPP (D),Democrat,2012-08-16,2012-08-19,Automated Phone,,Registered Voters (Independents),300,45,47,8,
Gallup,None,2012-08-16,2012-08-18,Live Phone,,Adults,1500,47,47,,3
Rasmussen,None,2012-08-16,2012-08-18,Automated Phone,,Likely Voters,1500,48,51,,3
ARG,None,2012-08-17,2012-08-20,Live Phone,,Adults,1100,47,48,5,2.6
ARG,None,2012-08-17,2012-08-20,Live Phone,,Adults (Democrats),363,80,17,,
ARG,None,2012-08-17,2012-08-20,Live Phone,,Adults (Republicans),330,12,84,,
ARG,None,2012-08-17,2012-08-20,Live Phone,,Adults (Independents),308,48,47,,
Gallup,None,2012-08-17,2012-08-19,Live Phone,,Adults,1500,47,47,,3
Rasmussen,None,2012-08-17,2012-08-19,Automated Phone,,Likely Voters,1500,49,49,,3
Rasmussen,None,2012-08-17,2012-08-19,Automated Phone,,Likely Voters,1500,49,49,,3
YouGov/Economist,None,2012-08-18,2012-08-20,Internet,,Adults,999,42,51,7,4.1
YouGov/Economist,None,2012-08-18,2012-08-20,Internet,,Adults (Democrats),363,73,22,4,
YouGov/Economist,None,2012-08-18,2012-08-20,Internet,,Adults (Republicans),259,5,93,1,
YouGov/Economist,None,2012-08-18,2012-08-20,Internet,,Adults (Independents),310,37,56,7,
Gallup,None,2012-08-18,2012-08-20,Live Phone,,Adults,1500,45,48,,3
Rasmussen,None,2012-08-18,2012-08-20,Automated Phone,,Likely Voters,1500,49,50,,3
Tarrance (R),Republican,2012-08-19,2012-08-23,Live Phone,,Likely Voters,801,46,50,,3.5
FOX,None,2012-08-19,2012-08-21,Live Phone,,Registered Voters,1219,46,48,6,3
FOX,None,2012-08-19,2012-08-21,Live Phone,,Registered Voters (Democrats),,86,12,3,
FOX,None,2012-08-19,2012-08-21,Live Phone,,Registered Voters (Republicans),,7,92,1,
FOX,None,2012-08-19,2012-08-21,Live Phone,,Registered Voters (Independents),,36,54,10,
Gallup,None,2012-08-19,2012-08-21,Live Phone,,Adults,1500,46,49,,3
Rasmussen,None,2012-08-19,2012-08-21,Automated Phone,,Likely Voters,1500,48,51,,3
Gallup,None,2012-08-20,2012-08-22,Live Phone,,Adults,1500,47,47,,3
Rasmussen,None,2012-08-20,2012-08-22,Automated Phone,,Likely Voters,1500,48,51,,3
Gallup,None,2012-08-21,2012-08-23,Live Phone,,Adults,1500,47,47,,3
Rasmussen,None,2012-08-21,2012-08-23,Automated Phone,,Likely Voters,1500,48,51,,3
ABC/Post,None,2012-08-22,2012-08-25,Live Phone,,Adults,1002,50,46,4,4
Gallup,None,2012-08-22,2012-08-24,Live Phone,,Adults,1500,46,47,,3
Rasmussen,None,2012-08-22,2012-08-24,Automated Phone,,Likely Voters,1500,48,50,,3
CNN,None,2012-08-22,2012-08-23,Live Phone,,Adults,1055,50,44,6,3
CNN,None,2012-08-22,2012-08-23,Live Phone,,Registered Voters (Democrats),,86,10,4,5.5
CNN,None,2012-08-22,2012-08-23,Live Phone,,Registered Voters (Republicans),,13,85,2,5.5
CNN,None,2012-08-22,2012-08-23,Live Phone,,Registered Voters (Independents),,43,47,10,5
Democracy Corps (D),Democrat,2012-08-23,2012-08-27,Live Phone,,Likely Voters,1000,47,50,3,3.1
DailyKos/SEIU/PPP (D),Democrat,2012-08-23,2012-08-26,Automated Phone,,Registered Voters,1000,48,48,4,3.1
DailyKos/SEIU/PPP (D),Democrat,2012-08-23,2012-08-26,Automated Phone,,Registered Voters (Democrats),430,86,10,3,
DailyKos/SEIU/PPP (D),Democrat,2012-08-23,2012-08-26,Automated Phone,,Registered Voters (Republicans),360,7,91,1,
DailyKos/SEIU/PPP (D),Democrat,2012-08-23,2012-08-26,Automated Phone,,Registered Voters (Independents),220,40,51,9,
Gallup,None,2012-08-23,2012-08-25,Live Phone,,Adults,1500,45,48,,3
Rasmussen,None,2012-08-23,2012-08-25,Automated Phone,,Likely Voters,1500,49,50,,3
Gallup,None,2012-08-24,2012-08-26,Live Phone,,Adults,1500,45,47,,3
Rasmussen,None,2012-08-24,2012-08-26,Automated Phone,,Likely Voters,1500,50,49,,3
YouGov/Economist,None,2012-08-25,2012-08-27,Internet,,Adults,1000,41,50,9,4.2
YouGov/Economist,None,2012-08-25,2012-08-27,Internet,,Adults (Democrats),375,80,12,7,
YouGov/Economist,None,2012-08-25,2012-08-27,Internet,,Adults (Republicans),252,7,91,2,
YouGov/Economist,None,2012-08-25,2012-08-27,Internet,,Adults (Independents),308,33,63,4,
Gallup,None,2012-08-25,2012-08-27,Live Phone,,Adults,1500,43,48,,3
Rasmussen,None,2012-08-25,2012-08-27,Automated Phone,,Likely Voters,1500,50,49,,3
Gallup,None,2012-08-26,2012-08-28,Live Phone,,Adults,1500,43,47,,3
Rasmussen,None,2012-08-26,2012-08-28,Automated Phone,,Likely Voters,1500,50,50,,3
Gallup,None,2012-08-27,2012-08-29,Live Phone,,Adults,1500,44,47,,3
Rasmussen,None,2012-08-27,2012-08-29,Automated Phone,,Likely Voters,1500,49,51,,3
Gallup,None,2012-08-28,2012-08-30,Live Phone,,Adults,1500,45,46,,3
Rasmussen,None,2012-08-28,2012-08-30,Automated Phone,,Likely Voters,1500,49,51,,3
Gallup,None,2012-08-29,2012-08-31,Live Phone,,Adults,1500,45,46,,3
Rasmussen,None,2012-08-29,2012-08-31,Automated Phone,,Likely Voters,1500,48,52,,3
Gallup,None,2012-08-30,2012-09-01,Live Phone,,Adults,1500,43,48,,3
Rasmussen,None,2012-08-30,2012-09-01,Automated Phone,,Likely Voters,1500,48,51,,3
CNN,None,2012-08-31,2012-09-03,Live Phone,,Adults,1005,48,45,7,3
CNN,None,2012-08-31,2012-09-03,Live Phone,,Registered Voters (Democrats),,84,11,5,5.5
CNN,None,2012-08-31,2012-09-03,Live Phone,,Registered Voters (Republicans),,12,84,4,5.5
CNN,None,2012-08-31,2012-09-03,Live Phone,,Registered Voters (Independents),,43,47,10,5
Gallup,None,2012-08-31,2012-09-02,Live Phone,,Adults,1500,45,48,,3
PPP (D),Democrat,2012-08-31,2012-09-02,Automated Phone,,Likely Voters,815,49,49,2,3.4
Rasmussen,None,2012-08-31,2012-09-02,Automated Phone,,Likely Voters,1500,48,52,,3
YouGov/Economist,None,2012-09-01,2012-09-03,Internet,,Adults,1000,43,48,9,4.2
YouGov/Economist,None,2012-09-01,2012-09-03,Internet,,Adults (Democrats),378,76,17,6,
YouGov/Economist,None,2012-09-01,2012-09-03,Internet,,Adults (Republicans),256,8,91,1,
YouGov/Economist,None,2012-09-01,2012-09-03,Internet,,Adults (Independents),309,42,49,9,
Gallup,None,2012-09-01,2012-09-03,Live Phone,,Adults,1500,45,48,,3
Rasmussen,None,2012-09-01,2012-09-03,Automated Phone,,Likely Voters,1500,48,51,,3
Gallup,None,2012-09-02,2012-09-04,Live Phone,,Adults,1500,47,47,,3
Rasmussen,None,2012-09-02,2012-09-04,Automated Phone,,Likely Voters,1500,47,52,,3
Gallup,None,2012-09-03,2012-09-05,Live Phone,,Adults,1500,49,45,,3
Rasmussen,None,2012-09-03,2012-09-05,Automated Phone,,Likely Voters,1500,46,54,,3
Gallup,None,2012-09-04,2012-09-06,Live Phone,,Adults,1500,52,43,,3
Rasmussen,None,2012-09-04,2012-09-06,Automated Phone,,Likely Voters,1500,46,54,,3
Gallup,None,2012-09-05,2012-09-11,Live Phone,,Registered Voters,3000,51,42,,2
Gallup,None,2012-09-05,2012-09-07,Live Phone,,Adults,1500,52,42,,3
Rasmussen,None,2012-09-05,2012-09-07,Automated Phone,,Likely Voters,1500,49,50,,3
Gallup,None,2012-09-06,2012-09-08,Live Phone,,Adults,1500,50,44,,3
Rasmussen,None,2012-09-06,2012-09-08,Automated Phone,,Likely Voters,1500,52,47,,3
Ipsos/Reuters,None,2012-09-07,2012-09-10,Live Phone,,Adults,1089,50,46,3,3.1
Ipsos/Reuters,None,2012-09-07,2012-09-10,Live Phone,,Registered Voters (Democrats),572,88,10,,4.3
Ipsos/Reuters,None,2012-09-07,2012-09-10,Live Phone,,Registered Voters (Republicans),439,8,91,,4.8
Ipsos/Reuters,None,2012-09-07,2012-09-10,Live Phone,,Registered Voters (Independents),78,39,48,,7.6
CNN,None,2012-09-07,2012-09-09,Live Phone,,Adults,1022,51,44,5,3
CNN,None,2012-09-07,2012-09-09,Live Phone,,Registered Voters (Democrats),,91,6,3,5
CNN,None,2012-09-07,2012-09-09,Live Phone,,Registered Voters (Republicans),,6,92,2,6
CNN,None,2012-09-07,2012-09-09,Live Phone,,Registered Voters (Independents),,44,48,8,5
DailyKos/SEIU/PPP (D),Democrat,2012-09-07,2012-09-09,Automated Phone,,Registered Voters (Democrats),420,85,11,4,
DailyKos/SEIU/PPP (D),Democrat,2012-09-07,2012-09-09,Automated Phone,,Registered Voters (Republicans),350,9,89,2,
DailyKos/SEIU/PPP (D),Democrat,2012-09-07,2012-09-09,Automated Phone,,Registered Voters (Independents),230,37,54,8,
DailyKos/SEIU/PPP (D),Democrat,2012-09-07,2012-09-09,Automated Phone,,Likely Voters,1000,47,48,4,3.1
ABC/Post,None,2012-09-07,2012-09-09,Live Phone,,Adults,1002,49,45,6,3.5
Gallup,None,2012-09-07,2012-09-09,Live Phone,,Adults,1500,50,44,,3
Rasmussen,None,2012-09-07,2012-09-09,Automated Phone,,Likely Voters,1500,52,47,,3
CBS/Times,None,2012-09-08,2012-09-12,Live Phone,,Adults,1301,51,42,7,3
Democracy Corps (D),Democrat,2012-09-08,2012-09-12,Live Phone,,Likely Voters,1000,49,48,4,3.1
YouGov/Economist,None,2012-09-08,2012-09-10,Internet,,Adults,1000,48,49,4,3.9
YouGov/Economist,None,2012-09-08,2012-09-10,Internet,,Adults (Democrats),368,88,11,1,
YouGov/Economist,None,2012-09-08,2012-09-10,Internet,,Adults (Republicans),244,4,96,,
YouGov/Economist,None,2012-09-08,2012-09-10,Internet,,Adults (Independents),284,46,51,3,
Gallup,None,2012-09-08,2012-09-10,Live Phone,,Adults,1500,50,43,,3
Rasmussen,None,2012-09-08,2012-09-10,Automated Phone,,Likely Voters,1500,52,47,,3
FOX,None,2012-09-09,2012-09-11,Live Phone,,Registered Voters,1224,48,48,5,3
Rasmussen,None,2012-09-09,2012-09-11,Automated Phone,,Likely Voters,1500,51,48,,3
Gallup,None,2012-09-10,2012-09-12,Live Phone,,Adults,1500,49,42,,3
Rasmussen,None,2012-09-10,2012-09-12,Automated Phone,,Likely Voters,1500,49,51,,3
Gallup,None,2012-09-11,2012-09-13,Live Phone,,Adults,1500,49,43,,3
Rasmussen,None,2012-09-11,2012-09-13,Automated Phone,,Likely Voters,1500,48,52,,3
JZ Analytics,None,2012-09-11,2012-09-12,Internet,,Registered Voters (Democrats),,89,11,1,
JZ Analytics,None,2012-09-11,2012-09-12,Internet,,Registered Voters (Republicans),,14,86,1,
JZ Analytics,None,2012-09-11,2012-09-12,Internet,,Registered Voters (Independents),,48,50,3,
JZ Analytics,None,2012-09-11,2012-09-12,Internet,,Likely Voters,1014,51,47,2,3.1
NBC/WSJ,None,2012-09-12,2012-09-16,Live Phone,,Registered Voters,900,50,48,2,3.27
Rasmussen,None,2012-09-12,2012-09-14,Automated Phone,,Likely Voters,1500,49,50,,3
Gallup,None,2012-09-12,2012-09-14,Live Phone,,Adults,1500,49,45,,3
Reason/Rupe,None,2012-09-13,2012-09-17,Live Phone,,Likely Voters,787,51,46,4,4.3
AP-GFK,None,2012-09-13,2012-09-17,Live Phone,,Adults,1512,56,40,4,3.2
DailyKos/SEIU/PPP (D),Democrat,2012-09-13,2012-09-16,Automated Phone,,Registered Voters (Democrats),440,87,10,2,
DailyKos/SEIU/PPP (D),Democrat,2012-09-13,2012-09-16,Automated Phone,,Registered Voters (Republicans),380,5,94,2,
DailyKos/SEIU/PPP (D),Democrat,2012-09-13,2012-09-16,Automated Phone,,Registered Voters (Independents),190,43,52,5,
DailyKos/SEIU/PPP (D),Democrat,2012-09-13,2012-09-16,Automated Phone,,Likely Voters,1000,48,50,2,3.1
Gallup,None,2012-09-13,2012-09-15,Live Phone,,Adults,1500,50,44,,3
Rasmussen,None,2012-09-13,2012-09-15,Automated Phone,,Likely Voters,1500,50,49,,3
Gallup,None,2012-09-14,2012-09-16,Live Phone,,Adults,1500,50,44,,3
Rasmussen,None,2012-09-14,2012-09-16,Automated Phone,,Likely Voters,1500,49,50,,3
Allstate/National Journal,None,2012-09-15,2012-09-19,Live Phone,,Likely Voters,1055,50,46,,3
YouGov/Economist,None,2012-09-15,2012-09-17,Internet,,Adults,1000,48,48,4,4.1
YouGov/Economist,None,2012-09-15,2012-09-17,Internet,,Adults (Democrats),405,87,9,3,
YouGov/Economist,None,2012-09-15,2012-09-17,Internet,,Adults (Republicans),262,4,94,2,
YouGov/Economist,None,2012-09-15,2012-09-17,Internet,,Adults (Independents),272,49,48,3,
Gallup,None,2012-09-15,2012-09-17,Live Phone,,Adults,1500,49,45,,3
Rasmussen,None,2012-09-15,2012-09-17,Automated Phone,,Likely Voters,1500,49,50,,3
Politico/GWU/Battleground,None,2012-09-16,2012-09-20,Live Phone,,Likely Voters,1000,50,47,3,3.1
Gallup,None,2012-09-16,2012-09-18,Live Phone,,Adults,1500,48,46,,3
Rasmussen,None,2012-09-16,2012-09-18,Automated Phone,,Likely Voters,1500,49,50,,3
UPI/CVOTER,None,2012-09-17,2012-09-23,Live Phone,,Adults,908,47,44,9,3.5
ARG,None,2012-09-17,2012-09-20,Live Phone,,Adults,1100,48,48,4,3
Gallup,None,2012-09-17,2012-09-19,Live Phone,,Adults,1500,46,48,,3
Rasmussen,None,2012-09-17,2012-09-19,Automated Phone,,Likely Voters,1500,51,48,,3
Gallup,None,2012-09-18,2012-09-20,Live Phone,,Adults,1500,47,48,,3
Rasmussen,None,2012-09-18,2012-09-20,Automated Phone,,Likely Voters,1500,51,48,,3
UPI/CVOTER,None,2012-09-19,2012-09-25,Live Phone,,Adults,848,50,46,4,3.5
Gallup,None,2012-09-19,2012-09-21,Live Phone,,Adults,1500,47,46,,3
Rasmussen,None,2012-09-19,2012-09-21,Automated Phone,,Likely Voters,1500,50,49,,3
UPI/CVOTER,None,2012-09-20,2012-09-26,Live Phone,,Adults,916,48,47,5,3.5
DailyKos/SEIU/PPP (D),Democrat,2012-09-20,2012-09-23,Automated Phone,,Registered Voters (Democrats),480,87,9,4,
DailyKos/SEIU/PPP (D),Democrat,2012-09-20,2012-09-23,Automated Phone,,Registered Voters (Republicans),396,5,93,2,
DailyKos/SEIU/PPP (D),Democrat,2012-09-20,2012-09-23,Automated Phone,,Registered Voters (Independents),312,39,53,8,
DailyKos/SEIU/PPP (D),Democrat,2012-09-20,2012-09-23,Automated Phone,,Likely Voters,1200,47,49,5,2.8
Gallup,None,2012-09-20,2012-09-22,Live Phone,,Adults,1500,51,43,,3
Rasmussen,None,2012-09-20,2012-09-22,Automated Phone,,Likely Voters,1500,48,50,,3
Bloomberg,None,2012-09-21,2012-09-24,Live Phone,,Adults,1007,49,46,5,3.1
Gallup,None,2012-09-21,2012-09-23,Live Phone,,Adults,1500,51,42,,3
Rasmussen,None,2012-09-21,2012-09-23,Automated Phone,,Likely Voters,1500,48,50,,3
YouGov/Economist,None,2012-09-22,2012-09-24,Internet,,Adults,1000,48,49,2,4.1
YouGov/Economist,None,2012-09-22,2012-09-24,Internet,,Adults (Democrats),,92,7,1,
YouGov/Economist,None,2012-09-22,2012-09-24,Internet,,Adults (Republicans),,6,91,2,
YouGov/Economist,None,2012-09-22,2012-09-24,Internet,,Adults (Independents),,42,56,2,
Gallup,None,2012-09-22,2012-09-24,Live Phone,,Adults,1500,50,43,,3
Rasmussen,None,2012-09-22,2012-09-24,Automated Phone,,Likely Voters,1500,48,51,,3
UPI/CVOTER,None,2012-09-23,2012-09-29,Live Phone,,Adults,940,49,47,4,3.5
Gallup,None,2012-09-23,2012-09-25,Live Phone,,Adults,1500,51,43,,3
Rasmussen,None,2012-09-23,2012-09-25,Automated Phone,,Likely Voters,1500,48,51,,3
Politico/GWU/Battleground,None,2012-09-24,2012-09-27,Live Phone,,Likely Voters,1000,49,49,,3.1
FOX,None,2012-09-24,2012-09-26,Live Phone,,Registered Voters,1208,49,48,4,3
FOX,None,2012-09-24,2012-09-26,Live Phone,,Registered Voters (Democrats),,89,8,3,
FOX,None,2012-09-24,2012-09-26,Live Phone,,Registered Voters (Republicans),,9,90,2,
FOX,None,2012-09-24,2012-09-26,Live Phone,,Registered Voters (Independents),,44,49,8,
Gallup,None,2012-09-24,2012-09-26,Live Phone,,Adults,1500,50,44,,3
Rasmussen,None,2012-09-24,2012-09-26,Automated Phone,,Likely Voters,1500,48,51,,3
Quinnipiac,None,2012-09-25,2012-09-30,Live Phone,,Likely Voters,1912,48,49,3,2.2
Gallup,None,2012-09-25,2012-09-27,Live Phone,,Adults,1500,50,45,,3
Rasmussen,None,2012-09-25,2012-09-27,Automated Phone,,Likely Voters,1500,48,51,,3
NPR,Democrat,2012-09-26,2012-09-30,Live Phone,,Likely Voters,800,50,46,4,
NBC/WSJ,None,2012-09-26,2012-09-30,Live Phone,,Registered Voters,1000,49,48,3,3.1
ABC/Post,None,2012-09-26,2012-09-29,Live Phone,,Adults,1101,50,46,4,3.5
Gallup,None,2012-09-26,2012-09-28,Live Phone,,Adults,1500,48,47,,3
Rasmussen,None,2012-09-26,2012-09-28,Automated Phone,,Likely Voters,1500,49,50,,3
DailyKos/SEIU/PPP (D),Democrat,2012-09-27,2012-09-30,Automated Phone,,Registered Voters (Democrats),429,83,12,5,
DailyKos/SEIU/PPP (D),Democrat,2012-09-27,2012-09-30,Automated Phone,,Registered Voters (Republicans),396,10,88,2,
DailyKos/SEIU/PPP (D),Democrat,2012-09-27,2012-09-30,Automated Phone,,Registered Voters (Independents),275,42,52,6,
DailyKos/SEIU/PPP (D),Democrat,2012-09-27,2012-09-30,Automated Phone,,Likely Voters,1100,47,49,4,2.8
Gallup,None,2012-09-27,2012-09-29,Live Phone,,Adults,1500,46,46,,3
Rasmussen,None,2012-09-27,2012-09-29,Automated Phone,,Likely Voters,1500,50,49,,3
CNN,None,2012-09-28,2012-09-30,Live Phone,,Adults,1013,49,48,3,3
CNN,None,2012-09-28,2012-09-30,Live Phone,,Registered Voters (Democrats),,88,11,1,5.5
CNN,None,2012-09-28,2012-09-30,Live Phone,,Registered Voters (Republicans),,7,92,1,6
CNN,None,2012-09-28,2012-09-30,Live Phone,,Registered Voters (Independents),,42,52,6,5
Gallup,None,2012-09-28,2012-09-30,Live Phone,,Adults,1500,47,46,,3
Rasmussen,None,2012-09-28,2012-09-30,Automated Phone,,Likely Voters,1500,49,49,,3
YouGov/Economist,None,2012-09-29,2012-10-01,Internet,,Adults,1000,44,52,3,4.7
Gallup,None,2012-09-29,2012-10-01,Live Phone,,Adults,1500,48,45,,3
Rasmussen,None,2012-09-29,2012-10-01,Automated Phone,,Likely Voters,1500,48,51,,3
UPI/CVOTER,None,2012-09-30,2012-10-06,Live Phone,,Adults,1196,49,47,5,3.5
McLaughlin (R-American Conservative Union),Republican,2012-09-30,2012-10-02,Live Phone,,Likely Voters,1000,52,48,1,3.1
McLaughlin (R-American Conservative Union),Republican,2012-09-30,2012-10-02,Live Phone,,Likely Voters (Democrats),,92,7,,
McLaughlin (R-American Conservative Union),Republican,2012-09-30,2012-10-02,Live Phone,,Likely Voters (Republicans),,11,89,,
McLaughlin (R-American Conservative Union),Republican,2012-09-30,2012-10-02,Live Phone,,Likely Voters (Independents),,50,48,,
Gallup,None,2012-09-30,2012-10-02,Live Phone,,Adults,1500,50,44,,3
Rasmussen,None,2012-09-30,2012-10-02,Automated Phone,,Likely Voters,1500,49,50,,3
Politico/GWU/Battleground,None,2012-10-01,2012-10-04,Live Phone,,Likely Voters,1000,50,48,2,3.1
Gallup,None,2012-10-01,2012-10-03,Live Phone,,Adults,1500,54,42,,3
Rasmussen,None,2012-10-01,2012-10-03,Automated Phone,,Likely Voters,1500,49,50,,3
Gallup,None,2012-10-02,2012-10-04,Live Phone,,Adults,1500,52,43,,3
Rasmussen,None,2012-10-02,2012-10-04,Automated Phone,,Likely Voters,1500,50,48,,3
Gallup,None,2012-10-03,2012-10-05,Live Phone,,Adults,1500,50,45,,3
Rasmussen,None,2012-10-03,2012-10-05,Automated Phone,,Likely Voters,1500,50,48,,3
UPI/CVOTER,None,2012-10-04,2012-10-10,Live Phone,,Adults,1428,48,47,5,3.5
DailyKos/SEIU/PPP (D),Democrat,2012-10-04,2012-10-07,Automated Phone,,Registered Voters (Democrats),520,84,13,3,
DailyKos/SEIU/PPP (D),Democrat,2012-10-04,2012-10-07,Automated Phone,,Registered Voters (Republicans),481,6,93,1,
DailyKos/SEIU/PPP (D),Democrat,2012-10-04,2012-10-07,Automated Phone,,Registered Voters (Independents),299,34,55,10,
DailyKos/SEIU/PPP (D),Democrat,2012-10-04,2012-10-07,Automated Phone,,Likely Voters,1300,43,53,4,2.7
Gallup,None,2012-10-04,2012-10-06,Live Phone,,Adults,1500,48,46,,3
Rasmussen,None,2012-10-04,2012-10-06,Automated Phone,,Likely Voters,1500,50,49,,3
Gallup,None,2012-10-05,2012-10-07,Live Phone,,Adults,1500,51,44,,3
Rasmussen,None,2012-10-05,2012-10-07,Automated Phone,,Likely Voters,1500,51,49,,3
YouGov/Economist,None,2012-10-06,2012-10-08,Internet,,Adults,1000,45,51,4,5
YouGov/Economist,None,2012-10-06,2012-10-08,Internet,,Adults (Democrats),,91,6,3,
YouGov/Economist,None,2012-10-06,2012-10-08,Internet,,Adults (Republicans),,9,90,2,
YouGov/Economist,None,2012-10-06,2012-10-08,Internet,,Adults (Independents),,35,61,4,
Gallup,None,2012-10-06,2012-10-08,Live Phone,,Adults,1500,53,42,,3
Rasmussen,None,2012-10-06,2012-10-08,Automated Phone,,Likely Voters,1500,49,50,,3
UPI/CVOTER,None,2012-10-07,2012-10-13,Live Phone,,Registered Voters,1478,48,48,,3.5
Gallup,None,2012-10-07,2012-10-13,Live Phone,,Likely Voters,2700,48,47,,2
Politico/GWU/Battleground,None,2012-10-07,2012-10-11,Live Phone,,Likely Voters,1000,50,48,2,3.1
FOX,None,2012-10-07,2012-10-09,Live Phone,,Registered Voters,1204,49,48,3,3
FOX,None,2012-10-07,2012-10-09,Live Phone,,Registered Voters (Democrats),,90,8,2,
FOX,None,2012-10-07,2012-10-09,Live Phone,,Registered Voters (Republicans),,8,89,3,
FOX,None,2012-10-07,2012-10-09,Live Phone,,Likely Voters,1092,43,52,5,3
Gallup,None,2012-10-07,2012-10-09,Live Phone,,Adults,1500,53,42,,3
Rasmussen,None,2012-10-07,2012-10-09,Automated Phone,,Likely Voters,1500,49,50,,3
Gallup,None,2012-10-08,2012-10-10,Live Phone,,Adults,1500,52,43,,3
Rasmussen,None,2012-10-08,2012-10-10,Automated Phone,,Likely Voters,1500,51,48,,3
Gallup,None,2012-10-09,2012-10-11,Live Phone,,Adults,1500,50,44,,3
Rasmussen,None,2012-10-09,2012-10-11,Automated Phone,,Likely Voters,1500,50,49,,3
ABC/Post,None,2012-10-10,2012-10-13,Live Phone,,Adults,1252,50,44,6,
Gallup,None,2012-10-10,2012-10-12,Live Phone,,Adults,1500,48,46,,3
Rasmussen,None,2012-10-10,2012-10-12,Automated Phone,,Likely Voters,1500,50,49,,3
Rasmussen,None,2012-10-11,2012-10-13,Automated Phone,,Likely Voters,1500,48,51,,3
DailyKos/SEIU/PPP (D),Democrat,2012-10-12,2012-10-14,Automated Phone,,Registered Voters (Democrats),624,85,13,2,
DailyKos/SEIU/PPP (D),Democrat,2012-10-12,2012-10-14,Automated Phone,,Registered Voters (Republicans),592,6,92,2,
DailyKos/SEIU/PPP (D),Democrat,2012-10-12,2012-10-14,Automated Phone,,Registered Voters (Independents),384,35,56,8,
DailyKos/SEIU/PPP (D),Democrat,2012-10-12,2012-10-14,Automated Phone,,Likely Voters,1600,44,53,4,2.5
Quinnipiac,None,2012-10-12,2012-10-14,Live Phone,,Likely Voters,1519,50,48,2,2.5
Gallup,None,2012-10-12,2012-10-14,Live Phone,,Adults,1500,48,47,,3
Rasmussen,None,2012-10-12,2012-10-14,Automated Phone,,Likely Voters,1500,49,50,,3
YouGov/Economist,None,2012-10-13,2012-10-15,Internet,,Adults,998,46,52,3,
YouGov/Economist,None,2012-10-13,2012-10-15,Internet,,Adults (Democrats),394,91,9,1,
YouGov/Economist,None,2012-10-13,2012-10-15,Internet,,Adults (Republicans),260,5,95,,
YouGov/Economist,None,2012-10-13,2012-10-15,Internet,,Adults (Independents),295,44,54,2,
Gallup,None,2012-10-13,2012-10-15,Live Phone,,Adults,1500,49,45,,3
Rasmussen,None,2012-10-13,2012-10-15,Automated Phone,,Likely Voters,1500,48,51,,3
Politico/GWU/Battleground,None,2012-10-14,2012-10-18,Live Phone,,Likely Voters,1000,49,48,2,3.1
Gallup,None,2012-10-14,2012-10-16,Live Phone,,Adults,1500,49,45,,3
Rasmussen,None,2012-10-14,2012-10-16,Automated Phone,,Likely Voters,1500,49,50,,3
Gallup,None,2012-10-15,2012-10-21,Live Phone,,Likely Voters,2700,49,46,,2
UPI/CVOTER,None,2012-10-15,2012-10-21,Live Phone,,Registered Voters,1316,50,45,,3.5
PPP (D-Americans United for Change),Democrat,2012-10-15,2012-10-17,Automated Phone,,Likely Voters,1200,46,50,4,2.8
PPP (D-Americans United for Change),Democrat,2012-10-15,2012-10-17,Automated Phone,,Likely Voters (Democrats),,80,15,4,
PPP (D-Americans United for Change),Democrat,2012-10-15,2012-10-17,Automated Phone,,Likely Voters (Republicans),,10,88,2,
PPP (D-Americans United for Change),Democrat,2012-10-15,2012-10-17,Automated Phone,,Likely Voters (Independents),,40,52,9,
Gallup,None,2012-10-15,2012-10-17,Live Phone,,Adults,1500,50,44,,3
Rasmussen,None,2012-10-15,2012-10-17,Automated Phone,,Likely Voters,1500,48,51,,3
